Price,Close,High,Low,Open,Volume
Ticker,00980A.TW,00980A.TW,00980A.TW,00980A.TW,00980A.TW
Date,,,,,
2025-05-06,9.555525779724121,9.593825358588475,9.4502046771838,9.469354466615977,17486410
2025-05-07,9.56510066986084,9.62254912501765,9.54595179355005,9.603399335594641,18614730
2025-05-08,9.69914722442627,9.708722119895878,9.612974991424379,9.622549886893987,11701730
2025-05-09,9.814043045043945,9.814043045043945,9.699147040919343,9.747020604249329,13645290
2025-05-12,9.928938865661621,9.95766263788383,9.881065303216436,9.900215093439412,14917380
2025-05-13,10.005536079406738,10.216179203752466,9.995961184410968,10.216179203752466,36109850
2025-05-14,10.254477500915527,10.254477500915527,10.101282838955353,10.139581504445395,19109000
2025-05-15,10.254477500915527,10.273626377104444,10.197029046124356,10.264052395566091,16842210
2025-05-16,10.31192684173584,10.33107571957008,10.235328591062007,10.244903486535273,18457830
2025-05-19,10.110857963562012,10.283201505630796,10.10128306869368,10.273626610762465,20799790
2025-05-20,10.120431900024414,10.225753916880217,10.091708128660208,10.197029232403784,12463150
2025-05-21,10.264052391052246,10.264052391052246,10.149156394632643,10.158730376166785,6432782
2025-05-22,10.206604957580566,10.216179853185004,10.158731392670683,10.158731392670683,7003606
2025-05-23,10.206604957580566,10.264053418094887,10.177881183879558,10.244903626886012,8331073
2025-05-26,10.187455177307129,10.264052509134743,10.177880282550621,10.177880282550621,7990241
2025-05-27,10.120431900024414,10.216179022054739,10.101283023485687,10.216179022054739,9084781
2025-05-28,10.168305397033691,10.254477623696115,10.120431836319876,10.2353278341657,5805817
2025-05-29,10.264052391052246,10.302351056525447,10.216178830932693,10.28320126723274,12258550
2025-06-02,10.062984466552734,10.168305571439811,10.02468579994723,10.168305571439811,9975498
2025-06-03,10.206604957580566,10.244903626886012,10.130007618969675,10.130007618969675,4853160
2025-06-04,10.321500778198242,10.359799446808703,10.302351900449155,10.311926795879842,7345293
2025-06-05,10.31192684173584,10.36937438835085,10.302351946262574,10.35022551051661,5201433
2025-06-06,10.292776107788086,10.321499878463984,10.264052337112188,10.311925896980156,2048106
2025-06-09,10.378948211669922,10.388523106154093,10.331074652361265,10.359798422701582,4709418
2025-06-10,10.58001708984375,10.58001708984375,10.445971298045421,10.445971298045421,7482992
2025-06-11,10.666189193725586,10.666189193725586,10.608740737027984,10.656614298757278,6434941
2025-06-12,10.637463569641113,10.694912021266601,10.627889588630334,10.647038463764055,5089038
2025-06-13,10.570442199707031,10.637464639081418,10.53214353247706,10.541718427562616,10747030
2025-06-16,10.60874080657959,10.60874080657959,10.53214347255544,10.570442139567515,4100729
2025-06-17,10.647039413452148,10.70448787020189,10.6183156416334,10.656614308429145,5672600
2025-06-18,10.675763130187988,10.704487814970772,10.647039358517443,10.647039358517443,6422967
2025-06-19,10.60874080657959,10.68533814060374,10.599165911548509,10.675763245572659,4221795
2025-06-20,10.484269142150879,10.618314923425443,10.436395583616235,10.599165134766713,5533422
2025-06-23,10.503419876098633,10.503419876098633,10.311926537838183,10.340650310299184,8273757
2025-06-24,10.685338020324707,10.685338020324707,10.618315582086073,10.64703935374374,6427007
2025-06-25,10.809808731079102,10.809808731079102,10.752360275628925,10.781084959910125,3889537
2025-06-26,10.781085014343262,10.84810745178001,10.77151011953452,10.838532556971266,5454986
2025-06-27,10.800233840942383,10.82895852523588,10.771510069761108,10.809808735706882,2606938
2025-06-30,10.79065990447998,10.828958570586144,10.781085009675383,10.819383675781546,3449397
2025-07-01,10.8768310546875,10.943854404198747,10.838532389157734,10.838532389157734,5748994
2025-07-02,10.915129661560059,10.915129661560059,10.828958349415327,10.867257014739277,4344712
2025-07-03,11.03002643585205,11.03002643585205,10.97257798201207,11.010876646867992,5170630
2025-07-04,10.924704551696777,11.068325231436951,10.924704551696777,11.05875033683183,6221259
2025-07-07,10.828958511352539,10.924704719538108,10.809808721848093,10.924704719538108,6266744
2025-07-08,10.81938362121582,10.85768228712883,10.761935165790195,10.781084955302811,6163277
2025-07-09,10.963003158569336,10.982152947677502,10.828958287260983,10.828958287260983,3983726
2025-07-10,11.06832504272461,11.097048812938029,10.972577924530293,10.972577924530293,4495299
2025-07-11,11.077899932861328,11.087474828088702,11.0396012650641,11.077899932861328,5898582
2025-07-14,10.934280395507812,11.068326192279395,10.924705500071495,11.068326192279395,5145444
2025-07-15,11.049176216125488,11.068326006677005,10.963003984868209,10.972578880143967,2470339
2025-07-16,11.125773429870605,11.192795869840008,11.068325885071763,11.068325885071763,8292763
2025-07-17,11.164072036743164,11.192795808986418,11.097049597138152,11.183221826980171,4635822
2025-07-18,11.288541793823242,11.288541793823242,11.221519360987385,11.288541793823242,5702360
2025-07-21,11.288541793823242,11.317265563165444,11.25981802448104,11.298116687974698,5148696
2025-07-22,11.106623649597168,11.365139406397375,11.106623649597168,11.288542077485301,11098530
2025-07-23,11.202370643615723,11.25024420583748,11.173646871527568,11.202370643615723,6473284
2025-07-24,11.27896785736084,11.298117647289745,11.250244085579723,11.27896785736084,5610163
2025-07-25,11.269393920898438,11.307692587798263,11.221520358995596,11.307692587798263,3454192
2025-07-28,11.355565071105957,11.374714860832924,11.298117528149517,11.317266404764252,6208520
2025-07-29,11.231094360351562,11.35556525626978,11.19279569338536,11.35556525626978,9867589
2025-07-30,11.269393920898438,11.307692587798263,11.211945463992578,11.288542797792227,3656744
2025-07-31,11.470460891723633,11.480035786438192,11.32684112345411,11.32684112345411,11771100
2025-08-01,11.527909278869629,11.527909278869629,11.298117285749568,11.298117285749568,11270590
2025-08-04,11.441737174987793,11.480035840915557,11.393863614300034,11.432162280227798,8924609
2025-08-05,11.642805099487305,11.652379994000666,11.575782664118162,11.575782664118162,8710185
2025-08-06,11.652379989624023,11.681103760041124,11.604506430187389,11.614081324697155,5855384
2025-08-07,11.872596740722656,11.901321423419793,11.776850537735383,11.85344786537007,9872980
2025-08-08,11.977919578552246,11.997068455227737,11.91089622740744,11.95876978876452,7543168
2025-08-11,12.054516792297363,12.06409168709656,11.89174723315991,11.987494354927433,14815240
2025-08-12,12.083240509033203,12.102390298545146,12.035366948365565,12.092815403789174,6795707
2025-08-13,12.150262832641602,12.255584847749352,12.073665501533535,12.178987516641286,12315880
2025-08-14,12.207712173461914,12.236435946433916,12.131114836795057,12.18856238273906,10165650
2025-08-15,12.313033103942871,12.313033103942871,12.1789882232824,12.265160454056856,13324560
2025-08-18,12.475802421569824,12.475802421569824,12.313032858487766,12.313032858487766,17245250
2025-08-19,12.284309387207031,12.533251185439445,12.284309387207031,12.514101394908211,19422650
2025-08-20,11.910896301269531,12.188561863127783,11.910896301269531,12.178987881286783,30958460
2025-08-21,12.054516792297363,12.140689019265688,11.987494354927433,11.987494354927433,12715780
2025-08-22,11.997068405151367,12.131114193769232,11.968344633701907,12.131114193769232,8478359
2025-08-25,12.207712173461914,12.274734614767343,12.178988400489912,12.274734614767343,7717425
2025-08-26,12.236434936523438,12.236434936523438,12.15026271160721,12.198136271350915,8095098
2025-08-27,12.37048053741455,12.40877920201813,12.303458102636334,12.341756767239914,9370536
2025-08-28,12.332181930541992,12.389629471160196,12.30345816023289,12.37048059532486,10584740
