Price,Close,High,Low,Open,Volume
Ticker,006203.TW,006203.TW,006203.TW,006203.TW,006203.TW
Date,,,,,
2021-03-18,54.40437698364258,54.79083336469341,54.36143811375377,54.36143811375377,4000
2021-03-19,53.50264358520508,53.760280061173695,53.50264358520508,53.760280061173695,4140
2021-03-22,53.717342376708984,53.717342376708984,53.24500828103397,53.24500828103397,8000
2021-03-23,54.103797912597656,54.103797912597656,53.97497803572887,53.97497803572887,2000
2021-03-24,53.03030776977539,53.03030776977539,53.03030776977539,53.03030776977539,1000
2021-03-25,53.41676712036133,53.41676712036133,52.815613144808786,52.815613144808786,3000
2021-03-26,54.14674377441406,54.27556366792426,53.8461683909249,53.93204613591438,10000
2021-03-29,54.790828704833984,54.876709713333355,54.66201210612317,54.876709713333355,6617
2021-03-30,54.876712799072266,54.876712799072266,54.66201517978955,54.79083178574376,16100
2021-03-31,54.876712799072266,54.876712799072266,54.876712799072266,54.876712799072266,0
2021-04-01,55.005531311035156,55.048466902591485,54.83376928865622,54.83376928865622,4038
2021-04-07,55.692562103271484,55.692562103271484,55.52080662566901,55.649626509896606,16000
2021-04-08,55.907257080078125,55.907257080078125,55.69255946721143,55.69255946721143,6100
2021-04-09,55.735504150390625,56.2507771343407,55.735504150390625,56.2507771343407,5000
2021-04-12,55.692562103271484,55.99313746510157,55.649626509896606,55.90725972630033,6000
2021-04-13,55.47785949707031,56.121952308302674,55.47785949707031,56.0360745772152,9000
2021-04-14,55.735504150390625,55.735504150390625,55.735504150390625,55.735504150390625,1000
2021-04-15,56.12196350097656,56.12196350097656,55.82138810619978,56.036085752762084,12000
2021-04-16,56.37959671020508,56.37959671020508,56.1219569436124,56.1219569436124,9000
2021-04-19,56.55134963989258,56.59429178307469,56.379594171266405,56.59429178307469,6000
2021-04-20,56.508419036865234,56.55135463178621,56.508419036865234,56.55135463178621,4000
2021-04-21,56.25077819824219,56.33665593851621,56.25077819824219,56.33665593851621,3000
2021-04-22,55.99313735961914,56.42253260486791,55.99313735961914,56.42253260486791,8000
