Price,Close,High,Low,Open,Volume
Ticker,00842B.TWO,00842B.TWO,00842B.TWO,00842B.TWO,00842B.TWO
Date,,,,,
2021-03-18,29.53653335571289,29.801538603676534,29.52139283942614,29.801538603676534,131000
2021-03-19,29.82425308227539,29.82425308227539,29.53653416370181,29.53653416370181,117000
2021-03-22,30.0059757232666,30.0059757232666,29.990832315900057,29.990832315900057,102000
2021-03-23,30.058975219726562,30.058975219726562,29.90754403933385,29.90754403933385,108000
2021-03-24,30.445125579833984,30.45269872831786,30.376981685028458,30.376981685028458,107000
2021-03-25,30.346691131591797,30.39969160616988,30.3466911315918,30.39969160616988,101000
2021-03-26,30.202835083007812,30.21040823105667,30.195264823268662,30.195264823268662,111000
2021-03-29,30.119543075561523,30.119543075561523,30.096829411585325,30.096829411585325,110000
2021-03-30,29.869680404663086,29.983251598776615,29.869680404663086,29.983251598776615,106000
2021-03-31,30.058975219726562,30.058975219726562,30.058975219726562,30.058975219726562,100000
2021-04-01,30.361833572387695,30.34669305438542,30.26340576382578,30.26340576382578,105000
2021-04-07,30.490554809570312,30.52841188582315,30.490554809570316,30.52841188582315,101000
2021-04-08,30.248262405395508,30.2709760707443,30.248262405395508,30.2709760707443,132000
2021-04-09,30.5889835357666,30.588983535766598,30.573840128585072,30.573840128585072,105000
2021-04-12,30.62683868408203,30.62683868408203,30.62683868408203,30.62683868408203,100000
2021-04-13,30.498125076293945,30.535985040864997,30.498125076293945,30.535985040864997,101000
2021-04-14,30.687414169311523,30.710130726325637,30.687414169311523,30.702557577884313,104000
2021-04-15,30.60411834716797,30.619261751525347,30.60411834716797,30.619261751525347,101000
2021-04-16,30.535982131958008,30.581409463820144,30.535982131958008,30.581409463820144,101000
2021-04-19,30.28611946105957,30.490551114018853,30.26340579572279,30.490551114018853,112000
2021-04-20,29.983264923095703,29.983264923095703,29.983264923095703,29.983264923095703,101000
2021-04-21,30.096834182739258,30.127120998381628,30.05897710734115,30.127120998381628,143000
2021-04-22,30.425308227539062,30.425308227539062,30.364196496263453,30.379474429082357,132000
2021-04-23,30.379467010498047,30.379467010498047,30.379467010498047,30.379467010498047,101000
2021-04-26,30.21904945373535,30.371822898116655,30.21904945373535,30.371822898116655,106000
2021-04-27,30.173221588134766,30.180859096264662,30.17322158813477,30.180859096264662,101000
2021-04-28,30.02044105529785,30.043359404457966,30.02044105529785,30.043359404457966,102000
2021-04-29,30.02044105529785,30.05863441860893,30.02044105529785,30.02044105529785,112000
2021-05-03,30.07391357421875,30.081553995572918,30.07391357421875,30.07391357421875,102000
2021-05-04,30.058639526367188,30.096835810135655,30.058639526367188,30.096835810135655,102000
2021-05-05,30.272525787353516,30.272525787353516,30.241969927798074,30.241969927798074,102000
2021-05-06,30.333633422851562,30.356551773617998,30.33363342285156,30.356551773617998,101000
2021-05-07,30.135019302368164,30.333626508615595,30.028076736391366,30.333626508615595,134000
