Price,Close,Volume
Ticker,FDIQ,FDIQ
Date,,
2021-03-23,52.53500747680664,45800
2021-03-24,52.43872833251953,21800
2021-03-25,53.60286331176758,26600
2021-03-26,55.152130126953125,16700
2021-03-29,52.823856353759766,27700
2021-03-30,54.049259185791016,23400
2021-03-31,53.454071044921875,38100
2021-04-01,53.71665573120117,27900
2021-04-05,53.69915008544922,32300
2021-04-06,53.47157669067383,17200
2021-04-07,53.19148635864258,7900
2021-04-08,53.305267333984375,28000
2021-04-09,53.550350189208984,6700
2021-04-12,54.2155647277832,7400
2021-04-13,53.103946685791016,12700
2021-04-14,53.830440521240234,13200
2021-04-15,53.73415756225586,14300
2021-04-16,54.591941833496094,14600
2021-04-19,54.09302520751953,8700
2021-04-20,52.17613983154297,16800
2021-04-21,53.32276916503906,15600
2021-04-22,52.70131301879883,6400
2021-04-23,55.064598083496094,17600
2021-04-26,55.160884857177734,18100
2021-04-27,55.388465881347656,11800
2021-04-28,55.21340560913086,77500
2021-04-29,55.85237121582031,28600
2021-04-30,54.70573043823242,13800
2021-05-03,55.475990295410156,8100
2021-05-04,56.09743881225586,24400
2021-05-05,56.27251052856445,22500
2021-05-06,56.675140380859375,9000
2021-05-07,56.69264602661133,24800
2021-05-10,56.32502365112305,10100
2021-05-11,55.581031799316406,13300
2021-05-12,54.33811569213867,26200
2021-05-13,56.42131042480469,24400
2021-05-14,57.27033996582031,20500
2021-05-17,57.17405700683594,11600
2021-05-18,56.158714294433594,7700
2021-05-19,55.93114471435547,23900
2021-05-20,55.721065521240234,29700
2021-05-21,56.73640823364258,15100
2021-05-24,56.23748779296875,13900
2021-05-25,54.66197204589844,12600
2021-05-26,55.292179107666016,8100
2021-05-27,56.543846130371094,5200
2021-05-28,56.202484130859375,34800
2021-06-01,56.83268737792969,24700
2021-06-02,56.17621994018555,5500
2021-06-03,56.351280212402344,13200
2021-06-04,56.26375198364258,24200
2021-06-07,56.482574462890625,3700
2021-06-08,56.71015930175781,3000
2021-06-09,55.80859375,88100
2021-06-10,54.79325866699219,10000
2021-06-11,55.02959060668945,8600
2021-06-14,53.996742248535156,11700
2021-06-15,55.23090362548828,7400
2021-06-16,55.65980529785156,5000
2021-06-17,53.04267883300781,12700
2021-06-18,51.213321685791016,38500
2021-06-21,53.3382453918457,14400
2021-06-22,53.20635986328125,8000
2021-06-23,53.13602828979492,6300
2021-06-24,53.88330078125,2600
2021-06-25,54.58663558959961,2400
2021-06-28,52.881072998046875,15800
2021-06-29,52.35358428955078,5500
2021-06-30,52.529422760009766,2900
2021-07-01,53.065696716308594,9200
2021-07-02,52.5206184387207,13700
2021-07-06,51.10518264770508,10600
2021-07-07,50.71835708618164,10600
2021-07-08,49.78645324707031,8200
2021-07-09,52.01950454711914,4500
2021-07-12,52.0810432434082,4800
2021-07-13,50.93813705444336,14900
2021-07-14,50.929359436035156,3800
2021-07-15,51.51837921142578,6000
