Price,Close,Volume
Ticker,TXBC,TXBC
Date,,
2025-11-13,23.46500015258789,1200
2025-11-14,23.364999771118164,3400
2025-11-17,22.44499969482422,1400
2025-11-18,23.475000381469727,400
2025-11-19,21.875,800
2025-11-20,21.402000427246094,1400
2025-11-21,20.42799949645996,1600
2025-11-24,22.371000289916992,5100
2025-11-25,22.006000518798828,2900
2025-11-26,22.71299934387207,200
2025-11-28,22.5049991607666,500
2025-12-01,20.527000427246094,500
2025-12-02,22.214000701904297,1300
2025-12-03,23.106000900268555,1200
2025-12-04,22.868000030517578,3000
2025-12-05,21.968000411987305,2500
2025-12-08,22.63599967956543,1300
2025-12-09,23.523000717163086,500
2025-12-10,23.47100067138672,700
2025-12-11,22.760000228881836,400
2025-12-12,22.083999633789062,1000
2025-12-15,21.003000259399414,1200
2025-12-16,21.277999877929688,300
2025-12-17,20.39299964904785,400
2025-12-18,19.889999389648438,1700
2025-12-19,21.33300018310547,3000
2025-12-22,20.777999877929688,500
2025-12-23,21.030000686645508,500
2025-12-24,20.783000946044922,700
2025-12-26,20.711000442504883,300
2025-12-29,20.826000213623047,600
2025-12-30,20.875,500
2025-12-31,20.792999267578125,1000
2026-01-02,21.96299934387207,1700
2026-01-05,23.341999053955078,2800
2026-01-06,23.214000701904297,3400
2026-01-07,22.540000915527344,1200
2026-01-08,22.319000244140625,200
2026-01-09,22.1299991607666,3300
2026-01-12,22.219999313354492,800
2026-01-13,22.986000061035156,1000
2026-01-14,23.732999801635742,900
2026-01-15,22.992000579833984,700
2026-01-16,23.121999740600586,1600
2026-01-20,21.2450008392334,16500
2026-01-21,21.538999557495117,1100
2026-01-22,21.035999298095703,200
2026-01-23,21.02400016784668,200
2026-01-26,20.687999725341797,600
2026-01-27,21.415000915527344,800
2026-01-28,21.409000396728516,200
2026-01-29,20.065000534057617,400
2026-01-30,19.43400001525879,4200
2026-02-02,17.395000457763672,1100
2026-02-03,17.343000411987305,900
2026-02-04,16.312000274658203,1100
2026-02-05,13.793999671936035,2300
2026-02-06,15.423999786376953,5700
2026-02-09,15.562999725341797,900
2026-02-10,14.831000328063965,400
2026-02-11,14.513999938964844,3400
2026-02-12,14.232999801635742,100
2026-02-13,15.069999694824219,100
2026-02-17,15.052000045776367,200
2026-02-18,14.598999977111816,100
2026-02-19,14.640999794006348,1700
2026-02-20,14.897000312805176,700
2026-02-23,14.022000312805176,400
2026-02-24,13.994999885559082,600
2026-02-25,15.479000091552734,3200
2026-02-26,14.968000411987305,100
2026-02-27,14.369999885559082,1600
2026-03-02,15.116999626159668,600
2026-03-03,14.678999900817871,100
2026-03-04,15.86400032043457,800
2026-03-05,15.402000427246094,100
2026-03-06,14.71399974822998,1000
2026-03-09,15.008000373840332,7700
2026-03-10,15.069000244140625,2700
2026-03-11,15.312999725341797,300
2026-03-12,15.281999588012695,1600
2026-03-13,15.496999740600586,100
2026-03-16,16.79599952697754,400
2026-03-17,16.73900032043457,400
2026-03-18,15.895000457763672,800
2026-03-19,15.645999908447266,100
2026-03-20,15.600000381469727,100
2026-03-23,15.550000190734863,2556
